isolate_id,nreps,ndates,lin_x0,lin_slope,lin_x0_sd,lin_slope_sd,lin_sigma,lin_adj_rsquared,seg_x0_1,seg_slope1,changepoint,seg_slope2,seg_x0_2,fit_smax,fit_gchange,seg_sigma,seg_adj_rsquared,fit_sopt
5,5,4,0.6836,3e-4,0.0672,0.0014,0.3019,-0.0163,0.0606,0.0555,17.6292,-0.0075,1.1712,156.16,1.039,0.1051,0.8768,17.6292
9,5,4,0.7075,0.0018,0.0824,0.0017,0.3702,0.0032,0.163,0.032,32.5964,-0.0115,1.5809,137.4696,1.2061,0.1766,0.7732,32.5964
13,6,5,0.6172,0.0035,0.0573,0.0012,0.282,0.1044,0.0248,0.0548,18.131,-0.0041,1.0927,266.5122,1.0184,0.0776,0.9322,18.131
19,8,7,0.1569,-6e-4,0.0247,5e-4,0.1403,0.0072,-0.0095,0.0085,32.9233,-0.0048,0.4284,89.25,0.2703,0.0997,0.499,32.9233
28,6,5,0.6434,-0.0013,0.0495,0.001,0.2436,0.0086,-0,0.1461,5.9242,-0.0055,0.8981,163.2909,0.8655,0.1063,0.8115,5.9242
35,7,5,0.5698,-0.0031,0.0447,9e-4,0.2374,0.1163,0,0.1453,5.0001,-0.0062,0.7575,122.1774,0.7265,0.1414,0.6865,5.0001
42,8,7,0.8792,-0.0086,0.0476,0.001,0.2705,0.4569,1.0688,-0.0309,12.794,-0.0067,0.7592,113.3134,0.6735,0.2615,0.4924,12.794
45,3,3,0.7254,-0.0012,0.0786,0.0016,0.2733,-0.0134,0,0.1322,7.7688,-0.007,1.0814,154.4857,1.027,0.0611,0.9494,7.7688
II.A5,3,3,1.0378,-0.0036,0.029,6e-4,0.1009,0.5097,1.1073,-0.0106,14.9909,-0.0029,0.9919,342.0345,0.9484,0.099,0.5275,14.9909
II.A10,1,1,1.1061,0.0013,0.248,0.005,0.4981,-0.0932,0.0783,0.0981,16.3016,-0.0107,1.8519,173.0748,1.6775,0.0781,0.9731,16.3016
II.A11,3,3,0.9322,2e-4,0.1166,0.0023,0.4054,-0.0292,0.196,0.0526,23.7343,-0.0124,1.7387,140.2177,1.4444,0.1544,0.8507,23.7343
II.B2,5,5,0.7026,-0.004,0.0408,8e-4,0.1834,0.2803,0.9509,-0.0603,6.0106,-0.0024,0.6029,251.2083,0.5885,0.1652,0.416,6.0106
II.B3,1,1,0.7098,-0.0011,0.1629,0.0033,0.3272,-0.0872,0.5396,0.0053,79.9999,-0.0481,4.8116,100.0333,0.9636,0.2327,0.4503,79.9999
II.B4,4,4,1.1391,-0.0083,0.0787,0.0016,0.3161,0.3615,1.4088,-0.0786,5.0001,-0.0069,1.0503,152.2174,1.0158,0.3093,0.3886,5.0001
II.B10,1,1,0.8102,0.0011,0.2079,0.0042,0.4174,-0.0919,0.0374,0.0576,22.8821,-0.0115,1.6186,140.7478,1.3554,0.0564,0.98,22.8821
