Kingdom,Phylum,Class,Order,Family,Genus,Species,id
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pseudoalteromonadaceae,Pseudoalteromonas,arctica/citrea/espejiana/issachenkonii/translucida,1
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,fragi,10
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pseudoalteromonadaceae,Pseudoalteromonas,arctica/distincta/elyakovii/flavipulchra/haloplanktis/paragorgicola,11
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,nubinhibens,14
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,bohemicus/movanagherensis,16
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ahrensia,NA,18
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Lacinutrix,mariniflava,19
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pseudoalteromonadaceae,Pseudoalteromonas,arctica/citrea/distincta/elyakovii/espejiana/flavipulchra/gracilis/haloplanktis/issachenkonii/paragorgicola/translucida,2
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Cellulophaga,NA,21
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Albirhodobacter,confluentis/marinus,25
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sulfitobacter,brevis,26
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Marinomonadaceae,Marinomonas,polaris,28
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pseudoalteromonadaceae,Pseudoalteromonas,NA,29
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pseudoalteromonadaceae,Pseudoalteromonas,arctica/citrea/espejiana/issachenkonii/translucida,3
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Marinomonadaceae,Marinomonas,NA,30
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Shewanellaceae,Shewanella,livingstonensis/vesiculosa,35
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Shewanellaceae,Shewanella,livingstonensis/vesiculosa,36
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Algoriphagus,NA,4
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pseudoalteromonadaceae,Pseudoalteromonas,NA,41
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,aerogenes/asburiae/bugandensis/cancerogenus/cloacae/hormaechei/ludwigii,42
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pseudoalteromonadaceae,Pseudoalteromonas,aliena,43
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Aeromonadaceae,Aeromonas,caviae/dhakensis/hydrophila/salmonicida/sobria/veronii,44
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Marinomonadaceae,Marinomonas,polaris,45
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pseudoalteromonadaceae,Pseudoalteromonas,arctica/citrea/distincta/elyakovii/espejiana/flavipulchra/gracilis/haloplanktis/issachenkonii/paragorgicola/translucida,5
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Shewanellaceae,Shewanella,baltica/putrefaciens,6
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pseudoalteromonadaceae,Pseudoalteromonas,arctica/distincta/elyakovii/flavipulchra/haloplanktis/paragorgicola,7
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pseudoalteromonadaceae,Pseudoalteromonas,haloplanktis,8
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pseudoalteromonadaceae,Pseudoalteromonas,aliena,9
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Colwelliaceae,Colwellia,NA,N1
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Shewanellaceae,Shewanella,NA,N2
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Shewanellaceae,Shewanella,NA,I.A2
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Cellulophaga,fucicola,I.A5
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pseudoalteromonadaceae,Pseudoalteromonas,NA,I.B1
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pseudoalteromonadaceae,Pseudoalteromonas,NA,I.B12
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Dokdonia,NA,I.B5
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pseudoalteromonadaceae,Pseudoalteromonas,arctica/citrea/espejiana/issachenkonii/translucida,I.C2
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Shewanellaceae,Shewanella,NA,I.D3
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Colwelliaceae,Colwellia,NA,I.D5
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pseudoalteromonadaceae,Pseudoalteromonas,arctica/distincta/elyakovii/flavipulchra/haloplanktis/paragorgicola,13
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pseudoalteromonadaceae,Pseudoalteromonas,antarctica/arctica/citrea/distincta/elyakovii/espejiana/flavipulchra/gracilis/haloplanktis/issachenkonii/paragorgicola/translucida,I.E11
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter,NA,I.E12
