day,temp,salt,cond,od
d1,15C,16,blank,0.0406000018119812
d1,15C,16,blank,0.041200000792741776
d1,15C,16,charles,0.3917999863624573
d1,15C,16,blank,0.041999999433755875
d1,15C,31,blank,0.04149999842047691
d1,15C,31,blank,0.04100000113248825
d1,15C,31,charles,0.4187999963760376
d1,15C,31,blank,0.04050000011920929
d1,15C,46,blank,0.040699999779462814
d1,15C,46,blank,0.04170000180602074
d1,15C,46,charles,0.08550000190734863
d1,15C,46,blank,0.0414000004529953
d1,15C,16,ica,0.4578000009059906
d1,15C,16,blank,0.04089999943971634
d1,15C,16,charles,0.37560001015663147
d1,15C,16,blank,0.042100001126527786
d1,15C,31,ica,0.4350000023841858
d1,15C,31,blank,0.0406000018119812
d1,15C,31,charles,0.34769999980926514
d1,15C,31,blank,0.0414000004529953
d1,15C,46,ica,0.4090999960899353
d1,15C,46,blank,0.040699999779462814
d1,15C,46,charles,0.1177000030875206
d1,15C,46,blank,0.04129999876022339
d1,15C,16,ica,0.35190001130104065
d1,15C,16,blank,0.04089999943971634
d1,15C,16,charles,0.3479999899864197
d1,15C,16,blank,0.04089999943971634
d1,15C,31,ica,0.3995000123977661
d1,15C,31,blank,0.0430000014603138
d1,15C,31,charles,0.41659998893737793
d1,15C,31,blank,0.04129999876022339
d1,15C,46,ica,0.36820000410079956
d1,15C,46,blank,0.0414000004529953
d1,15C,46,charles,0.11789999902248383
d1,15C,46,blank,0.04129999876022339
d1,15C,16,ica,0.45980000495910645
d1,15C,16,blank,0.04100000113248825
d1,15C,16,blank,0.0421999990940094
d1,15C,16,blank,0.04100000113248825
d1,15C,31,ica,0.4724000096321106
d1,15C,31,blank,0.0414000004529953
d1,15C,31,blank,0.0414000004529953
d1,15C,31,blank,0.041099999099969864
d1,15C,46,ica,0.4189000129699707
d1,15C,46,blank,0.040699999779462814
d1,15C,46,blank,0.0414000004529953
d1,15C,46,blank,0.04100000113248825
d1,15C,16,blank,0.040699999779462814
d1,15C,16,blank,0.04439999908208847
d1,15C,16,fucus,0.4131999909877777
d1,15C,16,blank,0.04129999876022339
d1,15C,31,blank,0.04179999977350235
d1,15C,31,blank,0.040699999779462814
d1,15C,31,fucus,0.43299999833106995
d1,15C,31,blank,0.04230000078678131
d1,15C,46,blank,0.041600000113248825
d1,15C,46,blank,0.045099999755620956
d1,15C,46,fucus,0.3935000002384186
d1,15C,46,blank,0.04100000113248825
d1,15C,16,nahant,0.4336000084877014
d1,15C,16,blank,0.041200000792741776
d1,15C,16,fucus,0.43549999594688416
d1,15C,16,blank,0.041099999099969864
d1,15C,31,nahant,0.2863999903202057
d1,15C,31,blank,0.040800001472234726
d1,15C,31,fucus,0.4456999897956848
d1,15C,31,blank,0.040699999779462814
d1,15C,46,nahant,0.4636000096797943
d1,15C,46,blank,0.0414000004529953
d1,15C,46,fucus,0.37529999017715454
d1,15C,46,blank,0.040800001472234726
d1,15C,16,nahant,0.5285999774932861
d1,15C,16,blank,0.041200000792741776
d1,15C,16,fucus,0.4401000142097473
d1,15C,16,blank,0.040699999779462814
d1,15C,31,nahant,0.44020000100135803
d1,15C,31,blank,0.04129999876022339
d1,15C,31,fucus,0.4668999910354614
d1,15C,31,blank,0.04050000011920929
d1,15C,46,nahant,0.45899999141693115
d1,15C,46,blank,0.04170000180602074
d1,15C,46,fucus,0.36059999465942383
d1,15C,46,blank,0.040699999779462814
d1,15C,16,nahant,0.36469998955726624
d1,15C,16,blank,0.041099999099969864
d1,15C,16,blank,0.0430000014603138
d1,15C,16,blank,0.04019999876618385
d1,15C,31,nahant,0.6797000169754028
d1,15C,31,blank,0.04010000079870224
d1,15C,31,blank,0.0406000018119812
d1,15C,31,blank,0.040699999779462814
d1,15C,46,nahant,0.3824000060558319
d1,15C,46,blank,0.0414000004529953
d1,15C,46,blank,0.04149999842047691
d1,15C,46,blank,0.0406000018119812
d1,roomtemp,16,blank,0.04039999842643738
d1,roomtemp,16,blank,0.041200000792741776
d1,roomtemp,16,charles,0.5446000099182129
d1,roomtemp,16,blank,0.04259999841451645
d1,roomtemp,31,blank,0.04129999876022339
d1,roomtemp,31,blank,0.04129999876022339
d1,roomtemp,31,charles,0.7231000065803528
d1,roomtemp,31,blank,0.04039999842643738
d1,roomtemp,46,blank,0.0406000018119812
d1,roomtemp,46,blank,0.041600000113248825
d1,roomtemp,46,charles,0.5090000033378601
d1,roomtemp,46,blank,0.06849999725818634
d1,roomtemp,16,ica,0.6208999752998352
d1,roomtemp,16,blank,0.04129999876022339
d1,roomtemp,16,charles,0.49799999594688416
d1,roomtemp,16,blank,0.04170000180602074
d1,roomtemp,31,ica,0.822700023651123
d1,roomtemp,31,blank,0.040699999779462814
d1,roomtemp,31,charles,0.4410000145435333
d1,roomtemp,31,blank,0.04129999876022339
d1,roomtemp,46,ica,0.6025999784469604
d1,roomtemp,46,blank,0.04100000113248825
d1,roomtemp,46,charles,0.4641000032424927
d1,roomtemp,46,blank,0.04100000113248825
d1,roomtemp,16,ica,0.5382999777793884
d1,roomtemp,16,blank,0.04100000113248825
d1,roomtemp,16,charles,0.46380001306533813
d1,roomtemp,16,blank,0.0406000018119812
d1,roomtemp,31,ica,0.4375999867916107
d1,roomtemp,31,blank,0.041099999099969864
d1,roomtemp,31,charles,0.656000018119812
d1,roomtemp,31,blank,0.04190000146627426
d1,roomtemp,46,ica,0.8055999875068665
d1,roomtemp,46,blank,0.04100000113248825
d1,roomtemp,46,charles,0.5070000290870667
d1,roomtemp,46,blank,0.041600000113248825
d1,roomtemp,16,ica,0.6851000189781189
d1,roomtemp,16,blank,0.041200000792741776
d1,roomtemp,16,blank,0.041099999099969864
d1,roomtemp,16,blank,0.040800001472234726
d1,roomtemp,31,ica,0.708899974822998
d1,roomtemp,31,blank,0.041200000792741776
d1,roomtemp,31,blank,0.0414000004529953
d1,roomtemp,31,blank,0.040800001472234726
d1,roomtemp,46,ica,0.6043000221252441
d1,roomtemp,46,blank,0.0406000018119812
d1,roomtemp,46,blank,0.042500000447034836
d1,roomtemp,46,blank,0.04179999977350235
d1,roomtemp,16,blank,0.040800001472234726
d1,roomtemp,16,blank,0.0414000004529953
d1,roomtemp,16,fucus,0.6067000031471252
d1,roomtemp,16,blank,0.041200000792741776
d1,roomtemp,31,blank,0.041600000113248825
d1,roomtemp,31,blank,0.041200000792741776
d1,roomtemp,31,fucus,0.5486000180244446
d1,roomtemp,31,blank,0.041200000792741776
d1,roomtemp,46,blank,0.04100000113248825
d1,roomtemp,46,blank,0.04129999876022339
d1,roomtemp,46,fucus,0.5120000243186951
d1,roomtemp,46,blank,0.04129999876022339
d1,roomtemp,16,nahant,0.5008000135421753
d1,roomtemp,16,blank,0.0414000004529953
d1,roomtemp,16,fucus,0.5593000054359436
d1,roomtemp,16,blank,0.0414000004529953
d1,roomtemp,31,nahant,0.8467000126838684
d1,roomtemp,31,blank,0.040800001472234726
d1,roomtemp,31,fucus,0.5676000118255615
d1,roomtemp,31,blank,0.040699999779462814
d1,roomtemp,46,nahant,0.4674000144004822
d1,roomtemp,46,blank,0.04170000180602074
d1,roomtemp,46,fucus,0.4799000024795532
d1,roomtemp,46,blank,0.04089999943971634
d1,roomtemp,16,nahant,0.6916000247001648
d1,roomtemp,16,blank,0.041099999099969864
d1,roomtemp,16,fucus,0.6930000185966492
d1,roomtemp,16,blank,0.04050000011920929
d1,roomtemp,31,nahant,0.508400022983551
d1,roomtemp,31,blank,0.0414000004529953
d1,roomtemp,31,fucus,0.527400016784668
d1,roomtemp,31,blank,0.0406000018119812
d1,roomtemp,46,nahant,0.47369998693466187
d1,roomtemp,46,blank,0.04179999977350235
d1,roomtemp,46,fucus,0.5367000102996826
d1,roomtemp,46,blank,0.04089999943971634
