rep,day,inoc,salt,temp,mcn
R1,D0,charles,inoculum,NA,3.111743957766682
R1,D0,fucus,inoculum,NA,3.4129307486198197
R1,D0,ica,inoculum,NA,6.764756276219281
R1,D0,nahant,inoculum,NA,3.566039757969612
R1,D1,charles,16%,15C,5.894217942996898
R1,D1,charles,16%,roomT,7.550102284192878
R1,D1,charles,31%,15C,5.112643107622208
R1,D1,charles,31%,roomT,8.050167921137751
R1,D1,charles,46%,15C,4.565282815923525
R1,D1,charles,46%,roomT,4.58798612142099
R1,D1,fucus,16%,15C,4.852443864845106
R1,D1,fucus,16%,roomT,7.744337994967487
R1,D1,fucus,31%,15C,5.678842466179455
R1,D1,fucus,31%,roomT,5.1586703458864
R1,D1,fucus,46%,15C,5.366434711356437
R1,D1,fucus,46%,roomT,8.99086722186724
R1,D1,ica,16%,15C,4.4634222773140975
R1,D1,ica,16%,roomT,7.8912892448633345
R1,D1,ica,31%,15C,5.0307438355876855
R1,D1,ica,31%,roomT,5.0257455995983
R1,D1,ica,46%,15C,4.579342873003569
R1,D1,ica,46%,roomT,8.357317712806532
R1,D1,nahant,16%,15C,5.305087267629763
R1,D1,nahant,16%,roomT,9.632521964294863
R1,D1,nahant,31%,15C,6.625181133571964
R1,D1,nahant,31%,roomT,8.007660265169646
R1,D1,nahant,46%,15C,6.142868248745031
R1,D1,nahant,46%,roomT,10.704511835652786
R1,D3,charles,16%,15C,3.233028039028269
R1,D3,charles,16%,roomT,5.066967624328422
R1,D3,charles,31%,15C,2.9279574065909797
R1,D3,charles,31%,roomT,3.1071837807111193
R1,D3,charles,46%,15C,4.750259570172863
R1,D3,charles,46%,roomT,4.641718518122833
R1,D3,fucus,16%,15C,7.89573717567138
R1,D3,fucus,16%,roomT,8.052611849499574
R1,D3,fucus,31%,15C,9.64805646578932
R1,D3,fucus,31%,roomT,3.9743272257190814
R1,D3,fucus,46%,15C,9.581965422445405
R1,D3,fucus,46%,roomT,9.86283228555572
R1,D3,ica,16%,15C,6.012323122322093
R1,D3,ica,16%,roomT,8.153729859775101
R1,D3,ica,31%,15C,5.910330153045536
R1,D3,ica,31%,roomT,2.8570170631623757
R1,D3,ica,46%,15C,8.366448755977185
R1,D3,ica,46%,roomT,8.702937290009372
R1,D3,nahant,16%,15C,8.429916449535103
R1,D3,nahant,16%,roomT,7.542528898611961
R1,D3,nahant,31%,15C,9.476094304140629
R1,D3,nahant,31%,roomT,8.390818760442455
R1,D3,nahant,46%,15C,8.749403204016836
R1,D3,nahant,46%,roomT,11.377047627187272
R1,D5,charles,16%,15C,2.947167642454078
R1,D5,charles,16%,roomT,3.5078137987776996
R1,D5,charles,31%,15C,3.3442429180066755
R1,D5,charles,31%,roomT,2.947394386639772
R1,D5,charles,46%,15C,4.712286349714771
R1,D5,charles,46%,roomT,4.8411650486682465
R1,D5,fucus,16%,15C,7.794865272227374
R1,D5,fucus,16%,roomT,7.742976935892085
R1,D5,fucus,31%,15C,8.514891411361843
R1,D5,fucus,31%,roomT,4.993642853517997
R1,D5,fucus,46%,15C,9.084818190140066
R1,D5,fucus,46%,roomT,9.580934576153359
R1,D5,ica,16%,15C,7.448567671712031
