plate,row_letter,col_number,rep,day,inoc,salt,temp,well
P14,A,1,R1,D5,ica,31%,roomT,A1
P14,A,2,R2,D5,ica,31%,roomT,A2
P14,A,3,R3,D5,ica,31%,roomT,A3
P14,A,4,R1,D5,nahant,31%,roomT,A4
P14,A,5,R2,D5,nahant,31%,roomT,A5
P14,A,6,R3,D5,nahant,31%,roomT,A6
P14,A,7,R1,D5,charles,31%,roomT,A7
P14,A,8,R2,D5,charles,31%,roomT,A8
P14,A,9,R3,D5,charles,31%,roomT,A9
P14,A,10,R1,D5,fucus,31%,roomT,A10
P14,A,11,R2,D5,fucus,31%,roomT,A11
P14,A,12,R3,D5,fucus,31%,roomT,A12
P14,B,1,R1,D5,ica,16%,roomT,B1
P14,B,2,R2,D5,ica,16%,roomT,B2
P14,B,3,R3,D5,ica,16%,roomT,B3
P14,B,4,R1,D5,nahant,16%,roomT,B4
P14,B,5,R2,D5,nahant,16%,roomT,B5
P14,B,6,R3,D5,nahant,16%,roomT,B6
P14,B,7,R1,D5,charles,16%,roomT,B7
P14,B,8,R2,D5,charles,16%,roomT,B8
P14,B,9,R3,D5,charles,16%,roomT,B9
P14,B,10,R1,D5,fucus,16%,roomT,B10
P14,B,11,R2,D5,fucus,16%,roomT,B11
P14,B,12,R3,D5,fucus,16%,roomT,B12
P14,C,1,R1,D3,ica,46%,roomT,C1
P14,C,2,R2,D3,ica,46%,roomT,C2
P14,C,3,R3,D3,ica,46%,roomT,C3
P14,C,4,R1,D3,nahant,46%,roomT,C4
P14,C,5,R2,D3,nahant,46%,roomT,C5
P14,C,6,R3,D3,nahant,46%,roomT,C6
P14,C,7,R1,D3,charles,46%,roomT,C7
P14,C,8,R2,D3,charles,46%,roomT,C8
P14,C,9,R3,D3,charles,46%,roomT,C9
P14,C,10,R1,D3,fucus,46%,roomT,C10
P14,C,11,R2,D3,fucus,46%,roomT,C11
P14,C,12,R3,D3,fucus,46%,roomT,C12
P14,D,1,R1,D3,ica,31%,roomT,D1
P14,D,2,R2,D3,ica,31%,roomT,D2
P14,D,3,R3,D3,ica,31%,roomT,D3
P14,D,4,R1,D3,nahant,31%,roomT,D4
P14,D,5,R2,D3,nahant,31%,roomT,D5
P14,D,6,R3,D3,nahant,31%,roomT,D6
P14,D,7,R1,D3,charles,31%,roomT,D7
P14,D,8,R2,D3,charles,31%,roomT,D8
P14,D,9,R3,D3,charles,31%,roomT,D9
P14,D,10,R1,D3,fucus,31%,roomT,D10
P14,D,11,R2,D3,fucus,31%,roomT,D11
P14,D,12,R3,D3,fucus,31%,roomT,D12
P14,E,1,R1,D3,ica,16%,roomT,E1
P14,E,2,R2,D3,ica,16%,roomT,E2
P14,E,3,R3,D3,ica,16%,roomT,E3
P14,E,4,R1,D3,nahant,16%,roomT,E4
P14,E,5,R2,D3,nahant,16%,roomT,E5
P14,E,6,R3,D3,nahant,16%,roomT,E6
P14,E,7,R1,D3,charles,16%,roomT,E7
P14,E,8,R2,D3,charles,16%,roomT,E8
P14,E,9,R3,D3,charles,16%,roomT,E9
P14,E,10,R1,D3,fucus,16%,roomT,E10
P14,E,11,R2,D3,fucus,16%,roomT,E11
P14,E,12,R3,D3,fucus,16%,roomT,E12
P14,F,1,R1,D1,ica,46%,roomT,F1
P14,F,2,R2,D1,ica,46%,roomT,F2
P14,F,3,R3,D1,ica,46%,roomT,F3
P14,F,4,R1,D1,nahant,46%,roomT,F4
P14,F,5,R2,D1,nahant,46%,roomT,F5
P14,F,6,R3,D1,nahant,46%,roomT,F6
P14,F,7,R1,D1,charles,46%,roomT,F7
P14,F,8,R2,D1,charles,46%,roomT,F8
P14,F,9,R3,D1,charles,46%,roomT,F9
P14,F,10,R1,D1,fucus,46%,roomT,F10
P14,F,11,R2,D1,fucus,46%,roomT,F11
P14,F,12,R3,D1,fucus,46%,roomT,F12
P14,G,1,R1,D1,ica,31%,roomT,G1
P14,G,2,R2,D1,ica,31%,roomT,G2
P14,G,3,R3,D1,ica,31%,roomT,G3
P14,G,4,R1,D1,nahant,31%,roomT,G4
P14,G,5,R2,D1,nahant,31%,roomT,G5
P14,G,6,R3,D1,nahant,31%,roomT,G6
P14,G,7,R1,D1,charles,31%,roomT,G7
