date_of_plating,day_ID,dilution,salinity,well,competition,pair,bio_rep,total_count_1,total_count_2,total_volume,dil_factor,rep,salt,total_count,CFU_1,sd_CFU_1,CFU_2,sd_CFU_2,CFU_total,sd_CFU_total,ratio_strain1,ratio_strain2,strain1,strain2,ratio_fast
2024-10-25,D0,d5,16,A1,95-5,40-2,1,58,5,30,100000,1,16,63,193333333.33333334,25385910.352879696,16666666.666666666,7453559.924999299,210000000,26457513.110645905,0.9206349206349206,0.07936507936507936,40,2,0.07936507936507936
2024-10-25,D0,d5,16,A10,100,2,1,66,0,30,100000,1,16,66,220000000,27080128.015453205,0,0,220000000,27080128.015453205,1,0,2,2,1
2024-10-25,D0,d5,16,A11,100,2,2,34,0,30,100000,2,16,34,113333333.33333333,19436506.316151004,0,0,113333333.33333333,19436506.316151004,1,0,2,2,1
2024-10-25,D0,d5,16,A12,100,2,3,22,0,30,100000,3,16,22,73333333.33333333,15634719.199411433,0,0,73333333.33333333,15634719.199411433,1,0,2,2,1
2024-10-25,D0,d5,16,A2,95-5,40-2,2,70,11,30,100000,2,16,81,233333333.33333334,27888667.551135853,36666666.666666664,11055415.967851333,270000000,30000000,0.8641975308641975,0.13580246913580246,40,2,0.13580246913580246
2024-10-25,D0,d5,16,A3,95-5,40-2,3,56,1,30,100000,3,16,57,186666666.66666666,24944382.57849294,3333333.3333333335,3333333.3333333335,190000000,25166114.784235835,0.9824561403508771,0.017543859649122806,40,2,0.017543859649122806
2024-10-25,D0,d5,16,A4,50-50,40-2,1,10,19,30,100000,1,16,29,33333333.333333332,10540925.533894598,63333333.333333336,14529663.14513558,96666666.66666667,17950549.35711501,0.3448275862068966,0.6551724137931034,40,2,0.6551724137931034
2024-10-25,D0,d5,16,A5,50-50,40-2,2,8,18,30,100000,2,16,26,26666666.666666668,9428090.415820634,60000000,14142135.62373095,86666666.66666667,16996731.711975947,0.3076923076923077,0.6923076923076923,40,2,0.6923076923076923
2024-10-25,D0,d5,16,A6,50-50,40-2,3,5,18,30,100000,3,16,23,16666666.666666666,7453559.924999299,60000000,14142135.62373095,76666666.66666667,15986105.077709062,0.21739130434782608,0.782608695652174,40,2,0.782608695652174
2024-10-25,D0,d5,16,A7,5-95,40-2,1,3,68,30,100000,1,16,71,10000000,5773502.691896257,226666666.66666666,27487370.837451074,236666666.66666666,28087165.910587862,0.04225352112676056,0.9577464788732394,40,2,0.9577464788732394
2024-10-25,D0,d5,16,A8,5-95,40-2,2,0,76,30,100000,2,16,76,0,0,253333333.33333334,29059326.29027116,253333333.33333334,29059326.29027116,0,1,40,2,1
2024-10-25,D0,d5,16,A9,5-95,40-2,3,0,71,30,100000,3,16,71,0,0,236666666.66666666,28087165.910587862,236666666.66666666,28087165.910587862,0,1,40,2,1
2024-10-25,D0,d5,16,B1,95-5,40-8,1,60,5,30,100000,1,16,65,200000000,25819888.974716116,16666666.666666666,7453559.924999299,216666666.66666666,26874192.4943285,0.9230769230769231,0.07692307692307693,40,8,0.07692307692307693
2024-10-25,D0,d5,16,B2,95-5,40-8,2,59,1,30,100000,2,16,60,196666666.66666666,25603819.159562025,3333333.3333333335,3333333.3333333335,200000000,25819888.974716116,0.9833333333333333,0.016666666666666666,40,8,0.016666666666666666
2024-10-25,D0,d5,16,B3,95-5,40-8,3,52,3,30,100000,3,16,55,173333333.33333334,24037008.503093258,10000000,5773502.691896257,183333333.33333334,24720661.62365221,0.9454545454545454,0.05454545454545454,40,8,0.05454545454545454
2024-10-25,D0,d5,16,B4,50-50,40-8,1,10,13,30,100000,1,16,23,33333333.333333332,10540925.533894598,43333333.333333336,12018504.251546629,76666666.66666667,15986105.077709062,0.43478260869565216,0.5652173913043478,40,8,0.5652173913043478
