day_ID,salinity,salt,pair,pair_type,strain1,strain2,mean_CFU_1,mean_CFU_2,mean_ratio_fast
D0,16,16,2,mono,2,2,135555555.55555555,0,1
D0,16,16,2-25,pair,2,25,145925925.9259259,164444444.44444445,0.6365442448182462
D0,16,16,2-32,pair,2,32,117037037.03703704,89629629.62962963,0.4765553661615661
D0,16,16,2-II.F2,pair,2,II.F2,117037037.03703703,75925925.92592593,0.5951537166130816
D0,16,16,25,mono,25,25,574444444.4444444,0,1
D0,16,16,32,mono,32,32,103333333.33333333,0,1
D0,16,16,39,mono,39,39,111111111.11111112,0,1
D0,16,16,40,mono,40,40,130000000,0,1
D0,16,16,40-2,pair,40,2,77777777.77777778,106296296.29629628,0.5911718543084682
D0,16,16,40-39,pair,40,39,94074074.07407407,56296296.29629629,0.5758546099759998
D0,16,16,40-8,pair,40,8,76666666.66666666,50000000,0.5032693353345528
D0,16,16,40-II.F2,pair,40,II.F2,83333333.33333334,100370370.37037036,0.49018926288974984
D0,16,16,6-25,pair,6,25,90000000,215185185.1851852,0.4060128250340364
D0,16,16,8,mono,8,8,72222222.22222222,0,1
D0,16,16,II.F2,mono,II.F2,II.F2,102222222.22222222,0,1
D0,31,31,2,mono,2,2,135555555.55555555,0,1
D0,31,31,2-25,pair,2,25,145925925.9259259,164444444.44444445,0.6365442448182462
D0,31,31,2-32,pair,2,32,117037037.03703704,89629629.62962963,0.4765553661615661
D0,31,31,2-II.F2,pair,2,II.F2,117037037.03703703,75925925.92592593,0.5951537166130816
D0,31,31,25,mono,25,25,574444444.4444444,0,1
D0,31,31,32,mono,32,32,103333333.33333333,0,1
D0,31,31,39,mono,39,39,111111111.11111112,0,1
D0,31,31,40,mono,40,40,130000000,0,1
D0,31,31,40-2,pair,40,2,77777777.77777778,106296296.29629628,0.5911718543084682
D0,31,31,40-39,pair,40,39,94074074.07407407,56296296.29629629,0.5758546099759998
D0,31,31,40-8,pair,40,8,76666666.66666666,50000000,0.5032693353345528
D0,31,31,40-II.F2,pair,40,II.F2,83333333.33333334,100370370.37037036,0.49018926288974984
D0,31,31,6-25,pair,6,25,90000000,215185185.1851852,0.4060128250340364
D0,31,31,8,mono,8,8,72222222.22222222,0,1
D0,31,31,II.F2,mono,II.F2,II.F2,102222222.22222222,0,1
D0,46,46,2,mono,2,2,135555555.55555555,0,1
D0,46,46,2-25,pair,2,25,145925925.9259259,164444444.44444445,0.6365442448182462
D0,46,46,2-32,pair,2,32,117037037.03703704,89629629.62962963,0.4765553661615661
D0,46,46,2-II.F2,pair,2,II.F2,117037037.03703703,75925925.92592593,0.5951537166130816
D0,46,46,25,mono,25,25,574444444.4444444,0,1
D0,46,46,32,mono,32,32,103333333.33333333,0,1
