dataset,ID,station,depth,environment,carbon_per_liter,nitrogen_per_liter,temperature,salinity,mcn,dissolved_oxygen,phosphate,total_P,nitrate,nitrite,nitrate_nitrite,ammonium,total_N,chl_a,latitude,longitude,pH,par,doC,tdN,poC,pN,year,month,day,insolation,diC,date
chesapeake,3-1-B-0-2,3.1,Bottom,seawater,NA,NA,28.67495556,2.595564444,1.572211025,4.307257778,,,,,,,,1.935406667,39.2495,-76.2405,7.657844444,0.02845996,,,,,,,,,,
chesapeake,3-1-B-1-2,3.1,Bottom,seawater,1.054611773,0.135642614,28.67495556,2.595564444,1.790742121,4.307257778,,,,,,,,1.935406667,39.2495,-76.2405,7.657844444,0.02845996,,,,,,,,,,
chesapeake,3-1-B-180,3.1,Bottom,seawater,0.068137063,0.010719588,28.67495556,2.595564444,2.640403944,4.307257778,,,,,,,,1.935406667,39.2495,-76.2405,7.657844444,0.02845996,,,,,,,,,,
chesapeake,3-1-B-20,3.1,Bottom,seawater,0.463769243,0.043044876,28.67495556,2.595564444,1.71853924,4.307257778,,,,,,,,1.935406667,39.2495,-76.2405,7.657844444,0.02845996,,,,,,,,,,
chesapeake,3-1-B-5,3.1,Bottom,seawater,1.594597805,0.166376326,28.67495556,2.595564444,1.833158616,4.307257778,,,,,,,,1.935406667,39.2495,-76.2405,7.657844444,0.02845996,,,,,,,,,,
chesapeake,3-1-B-500,3.1,Bottom,seawater,0.02472765,0.002220168,28.67495556,2.595564444,2.750800527,4.307257778,,,,,,,,1.935406667,39.2495,-76.2405,7.657844444,0.02845996,,,,,,,,,,
chesapeake,3-1-B-53,3.1,Bottom,seawater,0.3829517,0.032688518,28.67495556,2.595564444,1.662385871,4.307257778,,,,,,,,1.935406667,39.2495,-76.2405,7.657844444,0.02845996,,,,,,,,,,
chesapeake,3-1-S-0-2,3.1,Surface,seawater,NA,NA,28.88709796,1.309420408,1.611368229,3.90454898,,,,,,,,1.988036735,39.2495,-76.2405,7.918183673,8.5666449,,,,,,,,,,
chesapeake,3-1-S-1-2,3.1,Surface,seawater,1.157369392,0.155890397,28.88709796,1.309420408,1.886009444,3.90454898,,,,,,,,1.988036735,39.2495,-76.2405,7.918183673,8.5666449,,,,,,,,,,
chesapeake,3-1-S-180,3.1,Surface,seawater,0.012784914,0.001236975,28.88709796,1.309420408,2.513677107,3.90454898,,,,,,,,1.988036735,39.2495,-76.2405,7.918183673,8.5666449,,,,,,,,,,
