QueryID,isolate_id,Perc.Ident,Alignment.Length,mismatch,gapopen,qstart,qend,sstart,send,evalue,Bits
ASV1,N16_20C_D3_1,100,372,0,0,1,372,502,873,0,688
ASV1,18c,100,372,0,0,1,372,455,826,0,688
ASV1,12,100,372,0,0,1,372,510,881,0,688
ASV1,II.E10,100,372,0,0,1,372,245,616,0,688
ASV1,17,100,372,0,0,1,372,62,433,0,688
ASV1,I.F2,100,372,0,0,1,372,190,561,0,688
ASV1,I.E11,100,372,0,0,1,372,57,428,0,688
ASV1,13,100,372,0,0,1,372,289,660,0,688
ASV1,I.C2,100,372,0,0,1,372,243,614,0,688
ASV1,I.B1,100,372,0,0,1,372,75,446,0,688
ASV1,7,100,372,0,0,1,372,295,666,0,688
ASV1,5,100,372,0,0,1,372,45,416,0,688
ASV1,3,100,372,0,0,1,372,243,614,0,688
ASV1,2,100,372,0,0,1,372,61,432,0,688
ASV1,11,100,372,0,0,1,372,190,561,0,688
ASV1,1,100,372,0,0,1,372,62,433,0,688
ASV1,II.E11,99.73,372,1,0,1,372,481,852,0,682
ASV1,I.H2,99.73,372,1,0,1,372,245,616,0,682
ASV1,I.G5,99.73,372,1,0,1,372,60,431,0,682
ASV1,F16_20C_r3,99.73,372,0,1,1,372,499,869,0,680
ASV1,15,99.47,374,0,2,1,372,497,870,0,678
ASV1,II.D10,99.46,372,2,0,1,372,492,863,0,676
ASV1,37,99.46,372,2,0,1,372,502,873,0,676
ASV1,34,99.46,372,2,0,1,372,487,858,0,676
ASV1,II.B10,99.46,372,2,0,1,372,355,726,0,676
ASV1,II.A10,99.46,372,2,0,1,372,436,807,0,676
ASV1,I.C11,99.46,372,2,0,1,372,60,431,0,676
ASV1,I.B12,99.46,372,2,0,1,372,212,583,0,676
ASV1,8,99.46,372,2,0,1,372,308,679,0,676
ASV1,41,99.46,372,2,0,1,372,346,717,0,676
ASV1,II.A11,99.19,372,3,0,1,372,60,431,0,671
ASV1,32,98.94,376,0,4,1,372,488,863,0,669
ASV1,II.H10,98.39,372,6,0,1,372,477,848,0,654
ASV1,F46_15C_r1,98.39,372,6,0,1,372,498,869,0,654
ASV1,44c,98.39,372,6,0,1,372,356,727,0,654
ASV1,II.G11,98.39,372,6,0,1,372,289,660,0,654
ASV1,27,98.39,372,6,0,1,372,287,658,0,654
ASV1,9,98.39,372,6,0,1,372,211,582,0,654
ASV1,43,98.39,372,6,0,1,372,342,713,0,654
ASV1,I.G1,98.12,372,7,0,1,372,212,583,0,649
ASV1,29,98.12,372,7,0,1,372,325,696,0,649
ASV1,II.C10,97.85,372,8,0,1,372,190,561,0,643
ASV2,II.H10,100,372,0,0,1,372,477,848,0,688
ASV2,F46_15C_r1,100,372,0,0,1,372,498,869,0,688
ASV2,44c,100,372,0,0,1,372,356,727,0,688
ASV2,II.G11,100,372,0,0,1,372,289,660,0,688
ASV2,27,100,372,0,0,1,372,287,658,0,688
ASV2,9,100,372,0,0,1,372,211,582,0,688
ASV2,43,100,372,0,0,1,372,342,713,0,688
ASV2,I.G1,99.73,372,1,0,1,372,212,583,0,682
ASV2,II.C10,99.46,372,2,0,1,372,190,561,0,676
ASV2,29,99.19,372,3,0,1,372,325,696,0,671
ASV2,N16_20C_D3_1,98.39,372,6,0,1,372,502,873,0,654
ASV2,18c,98.39,372,6,0,1,372,455,826,0,654
ASV2,II.E11,98.39,372,6,0,1,372,481,852,0,654
ASV2,12,98.39,372,6,0,1,372,510,881,0,654
ASV2,II.E10,98.39,372,6,0,1,372,245,616,0,654
ASV2,17,98.39,372,6,0,1,372,62,433,0,654
ASV2,I.F2,98.39,372,6,0,1,372,190,561,0,654
ASV2,I.E11,98.39,372,6,0,1,372,57,428,0,654
ASV2,13,98.39,372,6,0,1,372,289,660,0,654
ASV2,I.C2,98.39,372,6,0,1,372,243,614,0,654
ASV2,I.B1,98.39,372,6,0,1,372,75,446,0,654
ASV2,7,98.39,372,6,0,1,372,295,666,0,654
ASV2,5,98.39,372,6,0,1,372,45,416,0,654
ASV2,3,98.39,372,6,0,1,372,243,614,0,654
ASV2,2,98.39,372,6,0,1,372,61,432,0,654
ASV2,11,98.39,372,6,0,1,372,190,561,0,654
ASV2,1,98.39,372,6,0,1,372,62,433,0,654
ASV2,I.H2,98.12,372,7,0,1,372,245,616,0,649
ASV2,I.G5,98.12,372,7,0,1,372,60,431,0,649
ASV2,F16_20C_r3,98.12,372,6,1,1,372,499,869,0,647
ASV2,15,97.86,374,6,2,1,372,497,870,0,645
ASV2,II.D10,97.85,372,8,0,1,372,492,863,0,643
ASV2,37,97.85,372,8,0,1,372,502,873,0,643
ASV2,34,97.85,372,8,0,1,372,487,858,0,643
ASV2,II.B10,97.85,372,8,0,1,372,355,726,0,643
ASV2,II.A10,97.85,372,8,0,1,372,436,807,0,643
ASV2,I.C11,97.85,372,8,0,1,372,60,431,0,643
ASV2,I.B12,97.85,372,8,0,1,372,212,583,0,643
ASV2,8,97.85,372,8,0,1,372,308,679,0,643
ASV2,41,97.85,372,8,0,1,372,346,717,0,643
ASV2,II.A11,97.58,372,9,0,1,372,60,431,0,638
ASV2,32,97.34,376,6,4,1,372,488,863,0,636
ASV3,I3M07,99.73,373,1,0,1,373,505,877,0,684
ASV3,E3R11,97.86,373,8,0,1,373,518,890,0,645
ASV4,25,100,372,0,0,1,372,381,752,0,688
ASV4,C2R09,97.04,372,11,0,1,372,438,809,0,627
ASV5,new_C9,99.46,373,2,0,1,373,488,860,0,678
ASV5,II.F2,99.46,373,2,0,1,373,499,871,0,678
ASV5,new_C2,99.2,374,2,1,1,373,505,878,0,673
ASV6,II.D10,100,372,0,0,1,372,492,863,0,688
ASV6,37,100,372,0,0,1,372,502,873,0,688
ASV6,34,100,372,0,0,1,372,487,858,0,688
ASV6,II.B10,100,372,0,0,1,372,355,726,0,688
ASV6,II.A10,100,372,0,0,1,372,436,807,0,688
ASV6,I.C11,100,372,0,0,1,372,60,431,0,688
ASV6,8,100,372,0,0,1,372,308,679,0,688
ASV6,41,100,372,0,0,1,372,346,717,0,688
ASV6,II.A11,99.73,372,1,0,1,372,60,431,0,682
ASV6,N16_20C_D3_1,99.46,372,2,0,1,372,502,873,0,676
ASV6,18c,99.46,372,2,0,1,372,455,826,0,676
ASV6,12,99.46,372,2,0,1,372,510,881,0,676
ASV6,II.E10,99.46,372,2,0,1,372,245,616,0,676
ASV6,17,99.46,372,2,0,1,372,62,433,0,676
ASV6,I.F2,99.46,372,2,0,1,372,190,561,0,676
ASV6,I.E11,99.46,372,2,0,1,372,57,428,0,676
ASV6,13,99.46,372,2,0,1,372,289,660,0,676
ASV6,I.C2,99.46,372,2,0,1,372,243,614,0,676
ASV6,I.B1,99.46,372,2,0,1,372,75,446,0,676
ASV6,7,99.46,372,2,0,1,372,295,666,0,676
ASV6,5,99.46,372,2,0,1,372,45,416,0,676
ASV6,3,99.46,372,2,0,1,372,243,614,0,676
ASV6,2,99.46,372,2,0,1,372,61,432,0,676
ASV6,11,99.46,372,2,0,1,372,190,561,0,676
ASV6,1,99.46,372,2,0,1,372,62,433,0,676
ASV6,II.E11,99.19,372,3,0,1,372,481,852,0,671
ASV6,I.H2,99.19,372,3,0,1,372,245,616,0,671
ASV6,I.G5,99.19,372,3,0,1,372,60,431,0,671
ASV6,F16_20C_r3,99.19,372,2,1,1,372,499,869,0,669
ASV6,15,98.93,374,2,2,1,372,497,870,0,667
ASV6,I.B12,98.92,372,4,0,1,372,212,583,0,665
ASV6,29,98.66,372,5,0,1,372,325,696,0,660
ASV6,32,98.4,376,2,4,1,372,488,863,0,658
ASV6,II.H10,97.85,372,8,0,1,372,477,848,0,643
ASV6,F46_15C_r1,97.85,372,8,0,1,372,498,869,0,643
ASV6,44c,97.85,372,8,0,1,372,356,727,0,643
ASV6,II.G11,97.85,372,8,0,1,372,289,660,0,643
ASV6,27,97.85,372,8,0,1,372,287,658,0,643
ASV6,9,97.85,372,8,0,1,372,211,582,0,643
ASV6,43,97.85,372,8,0,1,372,342,713,0,643
ASV6,I.G1,97.58,372,9,0,1,372,212,583,0,638
ASV6,II.C10,97.31,372,10,0,1,372,190,561,0,632
ASV7,new_C9,100,373,0,0,1,373,488,860,0,689
ASV7,II.F2,100,373,0,0,1,373,499,871,0,689
ASV7,new_C2,99.73,374,0,1,1,373,505,878,0,684
ASV8,II.D2,100,373,0,0,1,373,494,866,0,689
ASV8,II.B12,100,373,0,0,1,373,483,855,0,689
ASV8,II.A2,100,373,0,0,1,373,443,815,0,689
ASV8,II.C6,100,373,0,0,1,373,511,883,0,689
ASV8,II.B11,100,373,0,0,1,373,503,875,0,689
ASV8,II.E1,100,373,0,0,1,373,239,611,0,689
ASV8,36,100,373,0,0,1,373,239,611,0,689
ASV8,35,100,373,0,0,1,373,288,660,0,689
ASV8,II.A6,99.46,373,2,0,1,373,212,584,0,678
ASV8,II.A3,97.32,373,10,0,1,373,488,860,0,634
ASV8,I16_20C_r2,97.32,373,10,0,1,373,496,868,0,634
ASV8,II.F1,97.32,373,10,0,1,373,490,862,0,634
ASV8,II.B1,97.32,373,10,0,1,373,489,861,0,634
ASV8,40,97.32,373,10,0,1,373,523,895,0,634
ASV8,II.G5,97.32,373,10,0,1,373,63,435,0,634
ASV8,6,97.32,373,10,0,1,373,367,739,0,634
ASV9,new_C9,98.93,373,4,0,1,373,488,860,0,667
ASV9,II.F2,98.93,373,4,0,1,373,499,871,0,667
ASV9,new_C2,98.66,374,4,1,1,373,505,878,0,662
ASV10,C3M06,100,28,0,0,345,372,784,811,7e-9,52.8
ASV10,B2R22,100,28,0,0,345,372,789,816,7e-9,52.8
ASV11,II.A3,100,373,0,0,1,373,488,860,0,689
ASV11,I16_20C_r2,100,373,0,0,1,373,496,868,0,689
ASV11,II.F1,100,373,0,0,1,373,490,862,0,689
ASV11,II.B1,100,373,0,0,1,373,489,861,0,689
ASV11,40,100,373,0,0,1,373,523,895,0,689
ASV11,II.G5,100,373,0,0,1,373,63,435,0,689
ASV11,6,100,373,0,0,1,373,367,739,0,689
ASV11,II.D2,97.32,373,10,0,1,373,494,866,0,634
ASV11,II.B12,97.32,373,10,0,1,373,483,855,0,634
ASV11,II.A2,97.32,373,10,0,1,373,443,815,0,634
ASV11,II.C6,97.32,373,10,0,1,373,511,883,0,634
ASV11,II.B11,97.32,373,10,0,1,373,503,875,0,634
ASV11,II.E1,97.32,373,10,0,1,373,239,611,0,634
ASV11,36,97.32,373,10,0,1,373,239,611,0,634
ASV11,35,97.32,373,10,0,1,373,288,660,0,634
ASV12,II.D11,100,370,0,0,1,370,295,664,0,684
ASV12,I.A5,100,370,0,0,1,370,293,662,0,684
ASV12,21,100,370,0,0,1,370,339,708,0,684
ASV13,42,97.59,373,9,0,1,373,235,607,0,640
ASV14,F16_20C_D3_1,100,370,0,0,1,370,502,871,0,684
ASV14,19,100,370,0,0,1,370,255,624,0,684
ASV14,22,99.73,371,0,1,1,370,496,866,0,678
ASV14,I.E3,99.46,370,2,0,1,370,282,651,0,673
ASV14,II.F11,98.65,370,5,0,1,370,143,512,0,656
ASV15,II.D10,99.73,372,1,0,1,372,492,863,0,682
ASV15,37,99.73,372,1,0,1,372,502,873,0,682
ASV15,34,99.73,372,1,0,1,372,487,858,0,682
ASV15,II.B10,99.73,372,1,0,1,372,355,726,0,682
ASV15,II.A10,99.73,372,1,0,1,372,436,807,0,682
ASV15,I.C11,99.73,372,1,0,1,372,60,431,0,682
ASV15,8,99.73,372,1,0,1,372,308,679,0,682
ASV15,41,99.73,372,1,0,1,372,346,717,0,682
ASV15,II.E11,99.46,372,2,0,1,372,481,852,0,676
ASV15,II.A11,99.46,372,2,0,1,372,60,431,0,676
ASV15,N16_20C_D3_1,99.19,372,3,0,1,372,502,873,0,671
ASV15,18c,99.19,372,3,0,1,372,455,826,0,671
ASV15,12,99.19,372,3,0,1,372,510,881,0,671
ASV15,II.E10,99.19,372,3,0,1,372,245,616,0,671
ASV15,17,99.19,372,3,0,1,372,62,433,0,671
ASV15,I.F2,99.19,372,3,0,1,372,190,561,0,671
ASV15,I.E11,99.19,372,3,0,1,372,57,428,0,671
ASV15,13,99.19,372,3,0,1,372,289,660,0,671
ASV15,I.C2,99.19,372,3,0,1,372,243,614,0,671
ASV15,I.B1,99.19,372,3,0,1,372,75,446,0,671
ASV15,7,99.19,372,3,0,1,372,295,666,0,671
ASV15,5,99.19,372,3,0,1,372,45,416,0,671
ASV15,3,99.19,372,3,0,1,372,243,614,0,671
ASV15,2,99.19,372,3,0,1,372,61,432,0,671
ASV15,11,99.19,372,3,0,1,372,190,561,0,671
ASV15,1,99.19,372,3,0,1,372,62,433,0,671
ASV15,I.H2,98.92,372,4,0,1,372,245,616,0,665
ASV15,I.G5,98.92,372,4,0,1,372,60,431,0,665
